from	to	weight
301138	301146	0.802
301139	301146	0.202
301140	301146	0.716
301383	301146	0.543
301141	301146	0.805
301142	301146	0.704
301143	301146	0.732
301144	301146	0.324
301145	301146	0.263
301001	301147	0.833
301010	301147	0.769
301092	301147	0.317
301093	301147	0.306
301094	301147	0.528
301095	301147	0.341
301096	301147	0.772
301097	301147	0.785
301098	301147	0.811
301099	301147	0.838
301100	301147	0.269
301102	301147	0.833
301104	301147	0.51
301106	301147	0.225
301108	301147	0.288
301109	301147	0.277
301110	301147	0.809
301112	301147	0.308
301113	301147	0.572
301114	301147	0.754
301115	301147	0.763
301116	301147	0.667
301117	301147	0.739
301120	301147	0.323
301012	301147	0.305
301121	301147	0.318
301122	301147	0.848
301123	301147	0.798
301124	301147	0.309
301125	301147	0.328
301127	301147	0.312
301128	301147	0.801
301129	301147	0.696
301130	301147	0.311
301131	301147	0.762
301133	301147	0.696
301134	301147	0.29
301135	301147	0.274
301136	301147	0.623
301138	301147	0.76
301139	301147	0.205
301140	301147	0.834
301383	301147	0.536
301141	301147	0.765
301142	301147	0.774
301143	301147	0.844
301144	301147	0.311
301145	301147	0.267
301146	301147	0.796
301001	301148	0.81
301010	301148	0.83
301092	301148	0.228
301093	301148	0.231
301094	301148	0.484
301095	301148	0.264
301096	301148	0.649
301097	301148	0.656
301098	301148	0.781
301099	301148	0.86
301100	301148	0.217
301102	301148	0.855
301104	301148	0.459
301106	301148	0.195
301108	301148	0.21
301109	301148	0.202
301110	301148	0.783
301112	301148	0.223
301113	301148	0.512
301114	301148	0.678
301115	301148	0.694
301116	301148	0.593
301117	301148	0.686
301120	301148	0.252
301012	301148	0.233
301121	301148	0.257
301122	301148	0.87
301123	301148	0.812
301124	301148	0.244
301125	301148	0.248
301127	301148	0.242
301128	301148	0.806
301129	301148	0.655
301130	301148	0.24
301131	301148	0.691
301133	301148	0.676
301134	301148	0.204
301135	301148	0.208
301136	301148	0.552
301138	301148	0.691
301139	301148	0.135
301140	301148	0.838
301383	301148	0.5
301141	301148	0.688
301142	301148	0.722
301143	301148	0.865
301144	301148	0.229
301145	301148	0.206
301146	301148	0.666
301147	301148	0.756
301001	301149	0.902
301010	301149	0.877
301092	301149	0.267
301093	301149	0.269
301094	301149	0.514
301095	301149	0.293
301096	301149	0.692
301097	301149	0.706
301098	301149	0.863
301099	301149	0.922
301100	301149	0.25
301102	301149	0.929
301104	301149	0.481
301106	301149	0.203
301108	301149	0.256
301109	301149	0.235
301110	301149	0.843
301112	301149	0.26
301113	301149	0.519
301114	301149	0.719
301115	301149	0.732
301116	301149	0.619
301117	301149	0.707
301120	301149	0.292
301012	301149	0.261
301121	301149	0.285
301122	301149	0.928
301123	301149	0.893
301124	301149	0.278
301125	301149	0.284
301127	301149	0.271
301128	301149	0.872
301129	301149	0.69
301130	301149	0.268
301131	301149	0.745
301133	301149	0.726
301134	301149	0.241
301135	301149	0.232
301136	301149	0.601
301138	301149	0.725
301139	301149	0.15
301140	301149	0.929
301383	301149	0.531
301141	301149	0.736
301142	301149	0.785
301143	301149	0.935
301144	301149	0.263
301145	301149	0.229
301146	301149	0.723
301147	301149	0.832
301148	301149	0.857
301001	301150	0.85
301010	301150	0.815
301092	301150	0.266
301093	301150	0.265
301094	301150	0.518
301095	301150	0.296
301096	301150	0.691
301097	301150	0.702
301098	301150	0.833
301099	301150	0.86
301100	301150	0.251
301102	301150	0.868
301104	301150	0.488
301106	301150	0.211
301108	301150	0.249
301109	301150	0.232
301110	301150	0.813
301112	301150	0.263
301113	301150	0.528
301114	301150	0.716
301115	301150	0.731
301116	301150	0.616
301117	301150	0.713
301120	301150	0.293
301012	301150	0.257
301121	301150	0.286
301122	301150	0.873
301123	301150	0.864
301124	301150	0.279
301125	301150	0.283
301127	301150	0.274
301128	301150	0.82
301129	301150	0.684
301130	301150	0.271
301131	301150	0.728
301133	301150	0.713
301134	301150	0.24
301135	301150	0.238
301136	301150	0.592
301138	301150	0.722
301139	301150	0.157
301140	301150	0.857
301383	301150	0.533
301141	301150	0.729
301142	301150	0.777
301143	301150	0.878
301144	301150	0.265
301145	301150	0.233
301146	301150	0.701
301147	301150	0.789
301148	301150	0.809
301149	301150	0.873
301001	301014	0.734
301010	301014	0.69
301092	301014	0.322
301093	301014	0.321
301094	301014	0.546
301095	301014	0.354
301096	301014	0.857
301097	301014	0.879
301098	301014	0.773
301099	301014	0.746
301100	301014	0.286
301102	301014	0.751
301104	301014	0.511
301106	301014	0.253
301108	301014	0.295
301109	301014	0.279
301110	301014	0.88
301112	301014	0.32
