from	to	weight
301042	301052	0.013
301043	301052	0.014
301045	301052	0.003
301047	301052	0.009
301049	301052	0.004
301050	301052	0.009
301051	301052	0.007
301001	301053	0.003
301002	301053	0.003
301003	301053	0.012
301004	301053	0.008
301005	301053	0.006
301006	301053	0.004
301007	301053	0.003
301008	301053	0.006
301009	301053	0.004
301010	301053	0.005
301012	301053	0.013
301014	301053	0.005
301015	301053	0.003
301016	301053	0.007
301017	301053	0.006
301018	301053	0.005
301019	301053	0.006
301020	301053	0.007
301022	301053	0.004
301023	301053	0.003
301024	301053	0.004
301025	301053	0.004
301026	301053	0.005
301027	301053	0.013
301028	301053	0.018
301029	301053	0.003
301030	301053	0.007
301031	301053	0.005
301032	301053	0.005
301033	301053	0.005
301034	301053	0.013
301035	301053	0.005
301037	301053	0.006
301038	301053	0.009
301039	301053	0.016
301040	301053	0.01
301041	301053	0.005
301042	301053	0.01
301043	301053	0.007
301045	301053	0.005
301047	301053	0.004
301049	301053	0.008
301050	301053	0.007
301051	301053	0.007
301052	301053	0.007
301001	301054	0.003
301002	301054	0.003
301003	301054	0.047
301004	301054	0.018
301005	301054	0.006
301006	301054	0.008
301007	301054	0.003
301008	301054	0.005
301009	301054	0.003
301010	301054	0.004
301012	301054	0.048
301014	301054	0.004
301015	301054	0.004
301016	301054	0.015
301017	301054	0.012
301018	301054	0.004
301019	301054	0.011
301020	301054	0.006
301022	301054	0.004
301023	301054	0.003
301024	301054	0.003
301025	301054	0.003
301026	301054	0.01
301027	301054	0.034
301028	301054	0.091
301029	301054	0.003
301030	301054	0.005
301031	301054	0.01
301032	301054	0.009
301033	301054	0.008
301034	301054	0.008
301035	301054	0.004
301037	301054	0.011
301038	301054	0.007
301039	301054	0.009
301040	301054	0.028
301041	301054	0.01
301042	301054	0.009
301043	301054	0.006
301045	301054	0.009
301047	301054	0.003
301049	301054	0.019
301050	301054	0.006
301051	301054	0.007
301052	301054	0.005
301053	301054	0.016
301001	301055	0.003
301002	301055	0.003
301003	301055	0.011
301004	301055	0.007
301005	301055	0.006
301006	301055	0.004
301007	301055	0.003
301008	301055	0.007
301009	301055	0.004
301010	301055	0.005
301012	301055	0.011
301014	301055	0.005
301015	301055	0.003
301016	301055	0.006
301017	301055	0.005
301018	301055	0.005
301019	301055	0.005
301020	301055	0.007
301022	301055	0.004
301023	301055	0.003
301024	301055	0.004
301025	301055	0.004
301026	301055	0.005
301027	301055	0.011
301028	301055	0.015
301029	301055	0.003
301030	301055	0.007
301031	301055	0.005
301032	301055	0.005
301033	301055	0.004
301034	301055	0.015
301035	301055	0.006
301037	301055	0.005
301038	301055	0.009
301039	301055	0.017
301040	301055	0.009
301041	301055	0.005
301042	301055	0.01
301043	301055	0.007
301045	301055	0.005
301047	301055	0.004
301049	301055	0.007
301050	301055	0.007
301051	301055	0.006
301052	301055	0.008
301053	301055	0.109
301054	301055	0.014
301001	301056	0.029
301002	301056	0.032
301003	301056	0.003
301004	301056	0.003
301005	301056	0.012
301006	301056	0.002
301007	301056	0.028
301008	301056	0.013
301009	301056	0.06
301010	301056	0.02
301012	301056	0.003
301014	301056	0.017
301015	301056	0.002
301016	301056	0.003
301017	301056	0.002
301018	301056	0.015
301019	301056	0.002
301020	301056	0.017
301022	301056	0.039
301023	301056	0.025
301024	301056	0.062
301025	301056	0.027
301026	301056	0.002
301027	301056	0.003
301028	301056	0.004
301029	301056	0.015
301030	301056	0.022
301031	301056	0.002
301032	301056	0.002
301033	301056	0.002
301034	301056	0.006
301035	301056	0.033
301037	301056	0.002
301038	301056	0.011
301039	301056	0.006
301040	301056	0.003
301041	301056	0.002
301042	301056	0.01
301043	301056	0.015
301045	301056	0.002
301047	301056	0.042
301049	301056	0.003
301050	301056	0.012
301051	301056	0.008
301052	301056	0.012
301053	301056	0.004
301054	301056	0.004
301055	301056	0.004
301001	301058	0.019
301002	301058	0.018
301003	301058	0.004
301004	301058	0.003
301005	301058	0.016
301006	301058	0.002
301007	301058	0.017
301008	301058	0.021
301009	301058	0.026
301010	301058	0.029
301012	301058	0.004
301014	301058	0.024
301015	301058	0.002
301016	301058	0.003
301017	301058	0.003
301018	301058	0.014
301019	301058	0.003
301020	301058	0.026
301022	301058	0.043
301023	301058	0.016
301024	301058	0.027
301025	301058	0.016
301026	301058	0.002
301027	301058	0.004
301028	301058	0.004
301029	301058	0.011
301030	301058	0.031
301031	301058	0.002
301032	301058	0.002
301033	301058	0.002
301034	301058	0.007
301035	301058	0.088
301037	301058	0.003
301038	301058	0.015
301039	301058	0.007
301040	301058	0.004
301041	301058	0.002
301042	301058	0.012
301043	301058	0.021
301045	301058	0.002
301047	301058	0.03
301049	301058	0.003
301050	301058	0.016
301051	301058	0.01
301052	301058	0.013
301053	301058	0.005
301054	301058	0.004
301055	301058	0.005
301056	301058	0.043
301001	301059	0.002
301002	301059	0.002
301003	301059	0.012
301004	301059	0.022
301005	301059	0.004
301006	301059	0.034
301007	301059	0.002
301008	301059	0.003
301009	301059	0.002
301010	301059	0.003
301012	301059	0.012
301014	301059	0.003
301015	301059	0.009
301016	301059	0.017
301017	301059	0.027
301018	301059	0.002
301019	301059	0.067
301020	301059	0.003
301022	301059	0.002
301023	301059	0.002
301024	301059	0.002
301025	301059	0.002
301026	301059	0.066
301027	301059	0.01
301028	301059	0.009
301029	301059	0.002
301030	301059	0.003
301031	301059	0.024
301032	301059	0.051
301033	301059	0.062
301034	301059	0.004
301035	301059	0.003
301037	301059	0.013
301038	301059	0.003
301039	301059	0.004
301040	301059	0.016
301041	301059	0.028
301042	301059	0.005
301043	301059	0.003
301045	301059	0.063
301047	301059	0.002
301049	301059	0.024
301050	301059	0.003
301051	301059	0.005
301052	301059	0.003
301053	301059	0.005
301054	301059	0.01
301055	301059	0.005
301056	301059	0.002
301058	301059	0.003
301001	301060	0.022
301002	301060	0.024
301003	301060	0.004
301004	301060	0.003
301005	301060	0.013
301006	301060	0.002
301007	301060	0.021
301008	301060	0.015
301009	301060	0.037
301010	301060	0.021
301012	301060	0.004
301014	301060	0.018
301015	301060	0.002
301016	301060	0.003
301017	301060	0.003
301018	301060	0.017
301019	301060	0.003
301020	301060	0.02
301022	301060	0.034
301023	301060	0.021
301024	301060	0.04
301025	301060	0.023
301026	301060	0.002
301027	301060	0.004
301028	301060	0.004
301029	301060	0.014
301030	301060	0.029
301031	301060	0.002
301032	301060	0.002
301033	301060	0.002
301034	301060	0.007
301035	301060	0.043
301037	301060	0.003
301038	301060	0.012
301039	301060	0.006
301040	301060	0.003
301041	301060	0.002
301042	301060	0.011
301043	301060	0.017
301045	301060	0.002
301047	301060	0.031
301049	301060	0.003
301050	301060	0.013
301051	301060	0.009
301052	301060	0.014
301053	301060	0.005
301054	301060	0.004
301055	301060	0.005
301056	301060	0.095
301058	301060	0.057
301059	301060	0.002
301001	301062	0.011
301002	301062	0.012
301003	301062	0.004
301004	301062	0.003
301005	301062	0.012
301006	301062	0.002
301007	301062	0.011
301008	301062	0.013
301009	301062	0.016
301010	301062	0.014
301012	301062	0.004
301014	301062	0.013
301015	301062	0.002
301016	301062	0.003
301017	301062	0.003
301018	301062	0.024
301019	301062	0.003
301020	301062	0.022
301022	301062	0.015
301023	301062	0.014
301024	301062	0.017
301025	301062	0.016
301026	301062	0.003
301027	301062	0.004
301028	301062	0.005
301029	301062	0.01
301030	301062	0.051
301031	301062	0.003
301032	301062	0.003
301033	301062	0.002
301034	301062	0.011
301035	301062	0.027
301037	301062	0.003
301038	301062	0.013
301039	301062	0.009
301040	301062	0.004
301041	301062	0.003
301042	301062	0.014
301043	301062	0.019
301045	301062	0.003
301047	301062	0.014
301049	301062	0.004
301050	301062	0.012
301051	301062	0.009
301052	301062	0.03
301053	301062	0.006
301054	301062	0.005
301055	301062	0.006
301056	301062	0.021
301058	301062	0.024
301059	301062	0.003
301060	301062	0.028
301001	301063	0.012
301002	301063	0.014
301003	301063	0.004
301004	301063	0.003
301005	301063	0.011
301006	301063	0.002
301007	301063	0.012
